CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JD469547,12/26/2020 12:25:00 AM,001XX N MENARD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1512,29,08B,1137689,1900526,41.88318418,-87.76986113,"(41.883184181, -87.769861132)"
JD394220,10/09/2020 18:45,031XX W POLK ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,1134,24,04B,1155503,1896198,41.87096812,-87.70456303,"(41.870968116, -87.704563026)"
JD393729,10/09/2020 12:14,017XX W HOWARD ST,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,2422,49,6,1163126,1950347,42.01939924,-87.67504949,"(42.019399237, -87.675049485)"
JD396177,10/09/2020 21:30,001XX S HAMLIN BLVD,460,BATTERY,SIMPLE,PARK PROPERTY,N,N,1122,28,08B,1151096,1898964,41.87864577,-87.72067032,"(41.878645771, -87.72067032)"
JD394313,10/09/2020 14:00,065XX S CLAREMONT AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,832,16,08A,1161868,1861197,41.77479101,-87.68216869,"(41.774791014, -87.682168694)"
JD394678,10/09/2020 17:05,059XX S CAMPBELL AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,824,16,6,1160719,1865285,41.78603285,-87.68626801,"(41.786032848, -87.68626801)"
JD394088,10/09/2020 17:23,018XX N LAWNDALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2535,26,08B,1151423,1911964,41.91431266,-87.71912791,"(41.91431266, -87.719127914)"
JD393391,10/09/2020 0:20,097XX S MERRILL AVE,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,431,7,3,1192380,1840794,41.718115,-87.57098028,"(41.718115002, -87.570980276)"
JD456500,12/11/2020 17:54,017XX W 19TH ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,1234,25,15,1164805,1890780,41.85590858,-87.67056563,"(41.855908584, -87.670565632)"
JD469810,12/26/2020 11:07:00 AM,076XX S YATES BLVD,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,STREET,N,N,421,7,24,1193525,1854868,41.7567074,-87.56632725,"(41.756707398, -87.566327248)"
JD470035,12/26/2020 02:30:00 PM,070XX S WINCHESTER AVE,930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,N,N,735,17,7,1164569,1858081,41.76618374,-87.67235499,"(41.76618374, -87.672354986)"
JD456676,12/11/2020 22:04,025XX W 50TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,923,14,14,1160059,1871430,41.80290915,-87.68851891,"(41.802909148, -87.688518911)"
JD456489,12/11/2020 18:15,085XX S COMMERCIAL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,423,10,08B,1197630,1848866,41.74013606,-87.55148337,"(41.740136057, -87.551483372)"
JE189613,4/04/2021 21:03,059XX W 55TH ST,545,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,Y,N,811,23,08A,1137758,1867507,41.79257374,-87.77040239,"(41.792573744, -87.770402393)"
JD456297,12/11/2020 14:12,050XX S DREXEL BLVD,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,222,4,6,1183165,1871825,41.80348614,-87.60376701,"(41.803486138, -87.603767011)"
JD455755,12/11/2020 2:05,026XX E 87TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,423,7,08B,1195456,1847806,41.73728125,-87.55948339,"(41.737281253, -87.559483387)"
JD456172,12/11/2020 14:00,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,833,18,6,1145727,1853720,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
JE116588,01/18/2021 07:06:00 PM,068XX S PAXTON AVE,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,N,331,5,04B,1192055,1860111,41.77113044,-87.57154426,"(41.77113044, -87.571544262)"
JD457144,12/11/2020 22:05,024XX W LUNT AVE,610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,N,N,2411,50,5,1158866,1946394,42.00864093,-87.69083498,"(42.008640925, -87.690834984)"
JD456883,12/11/2020 11:00,027XX W ARMITAGE AVE,820,THEFT,$500 AND UNDER,CTA BUS,N,N,1431,1,6,1157966,1913177,41.91751013,-87.69505672,"(41.917510132, -87.695056717)"
JD456641,12/11/2020 21:00,050XX S LAFLIN ST,440,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,N,N,933,20,08B,1167190,1871258,41.80228738,-87.66237117,"(41.802287382, -87.662371172)"
JE115928,01/18/2021 12:05:00 AM,041XX W 55TH ST,2022,NARCOTICS,POSSESS - COCAINE,VEHICLE NON-COMMERCIAL,Y,N,815,23,18,1149874,1867812,41.79318441,-87.72596609,"(41.793184412, -87.725966089)"
JE129459,2/01/2021 16:35,069XX S CRANDON AVE,650,BURGLARY,HOME INVASION,APARTMENT,N,Y,331,5,5,1192526,1859300,41.76889353,-87.56984417,"(41.768893534, -87.569844168)"
JD351264,08/31/2020 04:25:00 AM,013XX E 52ND ST,650,BURGLARY,HOME INVASION,APARTMENT,Y,N,234,4,5,1186183,1870933,41.8009676,-87.59272688,"(41.800967595, -87.592726877)"
JD458718,12/11/2020 15:00,003XX W Menomonee st,810,THEFT,OVER $500,APARTMENT,N,N,1814,43,6,1173550,1912295,41.91475734,-87.63782734,"(41.91475734, -87.637827335)"
JE119259,01/18/2021 06:52:00 PM,079XX S Cicero Ave,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,834,18,6,1145805,1851340,41.74806034,-87.7413027,"(41.748060338, -87.741302702)"
JE130409,2/01/2021 22:00,070XX N KEDZIE AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,N,N,2411,50,5,1153867,1946582,42.00925828,-87.70922266,"(42.009258281, -87.709222657)"
JD459910,10/23/2020 12:01:00 AM,108XX S ROCKWELL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,2212,19,11,1160933,1832611,41.69636584,-87.686384,"(41.696365844, -87.686384002)"
JE189639,4/04/2021 21:00,101XX S YALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,511,9,08B,1176403,1837722,41.71005834,-87.62958948,"(41.710058336, -87.629589478)"
JD456901,12/11/2020 23:30,025XX W 101ST PL,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,N,N,2211,19,14,1161132,1837247,41.70908374,-87.6855277,"(41.709083736, -87.685527699)"
JD433414,11/16/2020 08:11:00 PM,032XX W WASHINGTON BLVD,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,N,Y,1123,28,17,1154712,1900497,41.88278088,-87.70735197,"(41.882780879, -87.707351971)"
JD396317,10/09/2020 16:45,036XX W 60TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,823,23,26,1153089,1864579,41.78424964,-87.71426224,"(41.784249642, -87.714262237)"
JD393396,10/09/2020 1:10,056XX W FULLERTON AVE,860,THEFT,RETAIL THEFT,DRUG STORE,Y,N,2515,30,6,1138562,1915397,41.92397622,-87.76629442,"(41.923976215, -87.766294416)"
JD394388,10/09/2020 22:11,026XX N HARDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2524,31,08B,1149605,1917222,41.92877663,-87.72567013,"(41.928776625, -87.725670126)"
JD398829,10/09/2020 8:00,061XX W DIVERSEY AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,2511,30,26,1135170,1917971,41.93110044,-87.778697,"(41.93110044, -87.778696999)"
JD379591,09/25/2020 11:00:00 PM,097XX S WOODLAWN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,511,8,08B,1185916,1840712,41.71804461,-87.59465772,"(41.718044614, -87.594657716)"
JD473789,12/25/2020 12:45:00 PM,005XX N Kingsbury St,890,THEFT,FROM BUILDING,ATHLETIC CLUB,N,N,1831,42,6,1173193,1903598,41.89090025,-87.63939736,"(41.890900247, -87.639397357)"
JD459594,12/11/2020 15:00,039XX S CICERO AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,FACTORY / MANUFACTURING BUILDING,N,N,1031,22,11,1145015,1878166,41.82169021,-87.74352327,"(41.821690214, -87.743523266)"
JD458579,12/11/2020 11:00,042XX W Irving Park Rd,810,THEFT,OVER $500,SCHOOL - PUBLIC BUILDING,N,N,1731,45,6,1147499,1926249,41.95358818,-87.73317681,"(41.953588183, -87.733176813)"
JE129811,2/01/2021 23:39,058XX S CALIFORNIA AVE,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,Y,N,824,16,26,1158710,1865749,41.78734738,-87.69362138,"(41.787347381, -87.693621381)"
JD456649,12/11/2020 21:32,095XX S STONY ISLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,GAS STATION,Y,N,431,7,15,1188521,1842119,41.72184385,-87.58507194,"(41.721843846, -87.585071938)"
JE128960,2/01/2021 3:30,104XX S STATE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,512,9,14,1178104,1835480,41.70386766,-87.62342786,"(41.703867661, -87.623427857)"
JD469574,12/26/2020 01:22:00 AM,063XX S SACRAMENTO AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,823,17,7,1157475,1862392,41.77816042,-87.69824054,"(41.778160417, -87.698240536)"
JE116634,01/18/2021 09:08:00 PM,028XX N CLYBOURN AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,Y,1931,1,08A,1162212,1918901,41.93312939,-87.6792964,"(41.933129385, -87.6792964)"
JE116044,01/18/2021 05:00:00 AM,001XX S PARKSIDE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1513,29,7,1138634,1898871,41.87862557,-87.76643113,"(41.878625565, -87.766431127)"
JE116698,01/18/2021 03:00:00 PM,016XX N HARDING AVE,496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,2535,26,04B,1149800,1910545,41.91045053,-87.72512757,"(41.910450529, -87.725127572)"
JD393448,10/09/2020 4:56,001XX E SUPERIOR ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1834,42,15,1177215,1905393,41.89573561,-87.62457228,"(41.895735608, -87.624572276)"
JD455733,12/11/2020 0:33,074XX S HARVARD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,731,6,08B,1175243,1855635,41.75923988,-87.63330401,"(41.759239882, -87.633304008)"
JD393950,10/09/2020 8:00,037XX W ADDISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1732,30,14,1150885,1923676,41.94646194,-87.72079705,"(41.946461935, -87.720797054)"
JD393577,10/09/2020 1:00,042XX N ST LOUIS AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,OTHER (SPECIFY),N,N,1723,35,26,1152293,1928050,41.95843678,-87.71550575,"(41.958436775, -87.715505751)"
JD393426,10/09/2020 3:17,020XX N MILWAUKEE AVE,860,THEFT,RETAIL THEFT,CONVENIENCE STORE,N,N,1431,1,6,1159682,1913243,41.91765602,-87.68875026,"(41.917656022, -87.688750258)"
JD392394,10/07/2020 6:30,008XX W BELLE PLAINE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1915,46,11,1169984,1927783,41.9573357,-87.65047502,"(41.957335697, -87.65047502)"
JD394427,10/09/2020 22:53,012XX W 63RD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,CTA BUS STOP,N,Y,713,16,08B,1169256,1863008,41.77960392,-87.65503301,"(41.779603921, -87.655033005)"
JD393373,10/09/2020 0:20,083XX S JUSTINE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,614,21,14,1167564,1849498,41.74256713,-87.66162284,"(41.74256713, -87.661622842)"
JE116177,01/18/2021 11:05:00 AM,006XX N MAYFIELD AVE,560,ASSAULT,SIMPLE,APARTMENT,N,N,1511,29,08A,1137029,1903855,41.89233126,-87.77220479,"(41.892331257, -87.772204792)"
JE119316,01/18/2021 08:15:00 AM,025XX E 98TH ST,810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,N,N,431,10,6,,,,,
JD394185,10/09/2020 13:00,074XX S KINGSTON AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,334,7,5,1194373,1856298,41.76061064,-87.56317263,"(41.760610638, -87.563172627)"
JE116514,01/18/2021 06:00:00 PM,027XX W HARRISON ST,460,BATTERY,SIMPLE,SIDEWALK,Y,N,1135,28,08B,1158248,1897253,41.87380752,-87.69445629,"(41.873807522, -87.69445629)"
JD394567,10/09/2020 13:49,010XX N FRANCISCO AVE,460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,N,N,1211,26,08B,1156861,1906972,41.90050559,-87.69928504,"(41.900505589, -87.699285044)"
JD460061,12/09/2020 10:00,079XX S ST LOUIS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,834,18,11,1154424,1851894,41.74941353,-87.70970476,"(41.749413528, -87.709704762)"
JD459545,11/15/2020 02:00:00 PM,010XX N HERMITAGE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,1213,1,26,1164540,1906950,41.90028602,-87.67108034,"(41.900286019, -87.671080342)"
JE116084,01/18/2021 08:30:00 AM,081XX S INGLESIDE AVE,810,THEFT,OVER $500,APARTMENT,N,Y,631,8,6,1183978,1851255,41.7470212,-87.60142743,"(41.7470212, -87.601427426)"
JD348920,08/29/2020 12:47:00 AM,026XX W 23RD PL,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,Y,N,1034,24,08B,1159078,1888299,41.84921984,-87.69165463,"(41.849219837, -87.691654631)"
JD352027,08/31/2020 06:29:00 PM,050XX S DR MARTIN LUTHER KING JR SD,479,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",SIDEWALK,Y,N,223,3,04B,1179910,1871377,41.80233198,-87.61571828,"(41.802331983, -87.615718276)"
JD455772,12/11/2020 3:23,033XX N PULASKI RD,610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,N,N,1732,30,5,1149139,1921889,41.94159232,-87.7272613,"(41.941592322, -87.727261298)"
JD456110,12/11/2020 12:25,046XX S KEDZIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),N,N,821,14,14,1155815,1873733,41.80931521,-87.70402186,"(41.809315206, -87.704021864)"
JD459834,11/27/2020 02:00:00 AM,002XX E MARQUETTE RD,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,322,6,5,1178876,1860639,41.7728895,-87.61983716,"(41.772889498, -87.619837161)"
JD472670,12/26/2020 02:30:00 PM,088XX S ELIZABETH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,2222,21,11,1169545,1845969,41.73284039,-87.65446642,"(41.732840394, -87.654466424)"
JD459996,12/11/2020 17:00,050XX N MARINE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,2024,48,11,1169716,1933892,41.97410483,-87.65128149,"(41.974104832, -87.651281486)"
JD444828,11/29/2020 10:55:00 AM,052XX S ASHLAND AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,SMALL RETAIL STORE,Y,N,934,16,17,1166565,1869880,41.79851935,-87.66470262,"(41.798519354, -87.664702622)"
JD456102,12/11/2020 10:57,079XX S HARVARD AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,Y,Y,623,17,04A,1175333,1852287,41.75005056,-87.63307404,"(41.750050556, -87.633074036)"
JE119184,01/18/2021 06:20:00 PM,011XX S CLARK ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,123,4,6,1175696,1895352,41.86821682,-87.6304532,"(41.86821682, -87.6304532)"
JD457024,12/11/2020 18:00,020XX W 23RD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,1034,25,11,1162918,1888733,41.85033117,-87.67754923,"(41.850331174, -87.677549231)"
JD459220,11/26/2020 12:00:00 PM,062XX N MOZART ST,1585,SEX OFFENSE,OTHER,RESIDENCE,N,N,2413,50,17,1156209,1941269,41.99463202,-87.70075013,"(41.994632023, -87.70075013)"
JD456605,12/11/2020 19:35,101XX S LONGWOOD DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2213,19,14,1165483,1837583,41.70991485,-87.6695843,"(41.709914846, -87.669584301)"
JD461498,12/02/2020 14:23,015XX W GARFIELD BLVD,820,THEFT,$500 AND UNDER,APARTMENT,N,N,934,16,6,,,,,
JE116555,01/18/2021 06:35:00 PM,0000X E 101ST PL,560,ASSAULT,SIMPLE,RESIDENCE,N,Y,511,9,08A,1178423,1837687,41.70991675,-87.62219301,"(41.70991675, -87.622193006)"
JD470338,12/26/2020 09:00:00 PM,020XX W BALMORAL AVE,460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,N,N,2012,40,08B,1161674,1935850,41.97964955,-87.68079923,"(41.979649551, -87.680799226)"
JD456035,12/11/2020 11:42,031XX S MICHIGAN AVE,560,ASSAULT,SIMPLE,GAS STATION,N,N,211,3,08A,1177699,1884310,41.83787159,-87.62343501,"(41.837871585, -87.623435005)"
JD456543,12/11/2020 19:30,046XX N LAWNDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1723,35,14,1150886,1930603,41.9654701,-87.72061133,"(41.965470104, -87.720611331)"
JD456171,12/11/2020 14:20,053XX N BERNARD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,1712,39,11,1152428,1935224,41.97812001,-87.71481904,"(41.978120014, -87.714819036)"
JD459920,11/30/2020 12:01:00 AM,018XX W 51ST ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,932,16,11,1165089,1870872,41.8012729,-87.67008735,"(41.801272899, -87.670087353)"
JD470075,12/26/2020 03:57:00 PM,010XX E 93RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),Y,N,413,8,15,1184923,1843530,41.72580085,-87.59820652,"(41.725800853, -87.598206518)"
JD457012,12/11/2020 19:10,123XX S PERRY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,523,9,15,1177820,1823229,41.67025552,-87.62483675,"(41.670255524, -87.624836754)"
JD474319,12/24/2020 08:00:00 AM,078XX S CORNELL AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,N,Y,414,8,17,1188599,1853289,41.75249358,-87.58443022,"(41.752493577, -87.584430217)"
JD455879,12/11/2020 8:40,042XX W CULLERTON ST,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,1012,24,3,1148428,1890083,41.85432709,-87.73069568,"(41.854327085, -87.730695678)"
JD459977,12/02/2020 16:00,032XX N KENNETH AVE,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1731,30,6,1146144,1921171,41.93967965,-87.73828757,"(41.939679646, -87.738287569)"
JD459486,11/15/2020 06:30:00 AM,054XX S Harper Ave,820,THEFT,$500 AND UNDER,RESIDENCE,N,N,234,5,6,1187195,1869755,41.79771109,-87.58905299,"(41.79771109, -87.589052989)"
JD456701,12/11/2020 23:38,003XX E 130TH ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,N,533,9,04A,1180506,1818878,41.65825469,-87.61513901,"(41.658254693, -87.615139009)"
JD456626,12/11/2020 20:58,052XX S HYDE PARK BLVD,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,234,5,3,1188449,1870831,41.80063382,-87.58442007,"(41.800633823, -87.584420069)"
JD456700,12/11/2020 23:45,003XX S WHIPPLE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,1124,28,14,1156099,1898324,41.87679008,-87.70231751,"(41.876790076, -87.702317506)"
JD385886,10/02/2020 0:01,060XX W GIDDINGS ST,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,N,N,1622,38,9,1135095,1930924,41.96664615,-87.77866457,"(41.966646151, -87.778664567)"
JE116711,01/18/2021 11:20:00 PM,069XX S OGLESBY AVE,820,THEFT,$500 AND UNDER,STREET,N,Y,331,5,6,1192974,1859167,41.76851765,-87.56820639,"(41.768517648, -87.568206387)"
JD455908,12/11/2020 9:30,002XX W 105TH ST,560,ASSAULT,SIMPLE,RESIDENCE,N,N,512,34,08A,1176489,1835312,41.70344303,-87.62934669,"(41.703443026, -87.629346685)"
JD458636,12/11/2020 15:30,008XX W EXCHANGE AVE,810,THEFT,OVER $500,STREET,N,N,925,11,6,1171439,1877242,41.81861601,-87.64661298,"(41.818616013, -87.646612978)"
JD458921,12/11/2020 9:00,026XX N LAKEVIEW AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,STREET,N,N,1935,43,11,1173106,1917968,41.93033417,-87.63928983,"(41.930334169, -87.639289833)"
JD459526,11/29/2020 04:00:00 PM,004XX W BELMONT AVE,820,THEFT,$500 AND UNDER,ALLEY,N,N,1925,44,6,1172750,1921525,41.94010261,-87.6404924,"(41.940102614, -87.640492401)"
JE116710,01/18/2021 11:45:00 PM,058XX S MAY ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,712,16,08B,1169654,1865929,41.78761087,-87.65348922,"(41.787610867, -87.653489219)"
JE189109,4/04/2021 10:54,023XX N NARRAGANSETT AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2512,36,15,1133359,1914984,41.92293572,-87.78542233,"(41.922935715, -87.785422333)"
JD456678,12/11/2020 22:50,073XX S OAKLEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,835,18,08B,1162340,1856039,41.76062691,-87.6805819,"(41.760626913, -87.680581904)"
JD459941,12/09/2020 0:01,051XX S HYDE PARK BLVD,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,234,5,11,1188373,1871076,41.80130794,-87.58469096,"(41.801307936, -87.584690956)"
JD458720,12/11/2020 22:30,005XX W BELMONT AVE,890,THEFT,FROM BUILDING,APARTMENT,N,N,1934,44,6,1172239,1921512,41.94007826,-87.64237086,"(41.940078259, -87.64237086)"
JD455800,12/11/2020 6:05,038XX N WESTERN AVE,031A,ROBBERY,ARMED - HANDGUN,GROCERY FOOD STORE,N,N,1921,47,3,1159696,1925250,41.95060373,-87.68836695,"(41.950603731, -87.688366953)"
JE223667,5/08/2021 0:00,015XX N SPRINGFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2535,26,08B,1150098,1909875,41.90860618,-87.72405031,"(41.90860618, -87.724050308)"
JD456512,12/11/2020 19:03,041XX W CRYSTAL ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2534,37,15,1148551,1908014,41.90352942,-87.72978139,"(41.903529422, -87.729781385)"
JD455743,12/11/2020 0:57,027XX E 75TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,421,7,14,1195784,1856151,41.76017248,-87.55800622,"(41.760172477, -87.55800622)"
JD456631,12/11/2020 16:00,053XX W FERDINAND ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1523,37,7,1140588,1902632,41.88891058,-87.75916394,"(41.888910582, -87.759163936)"
JD469494,12/25/2020 10:38:00 PM,026XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,133,4,14,1178033,1887015,41.84528672,-87.62212723,"(41.84528672, -87.622127226)"
JD459030,12/11/2020 12:00,040XX N MARMORA AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,N,N,1624,38,5,1136297,1926258,41.95382076,-87.77435684,"(41.953820758, -87.774356837)"
JD456562,12/11/2020 13:20,060XX W EDDY ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,1633,36,11,1135519,1922983,41.94484771,-87.77729501,"(41.94484771, -87.777295006)"
JD455777,12/11/2020 4:00,022XX N TALMAN AVE,820,THEFT,$500 AND UNDER,RESIDENCE,N,Y,1431,1,6,1158326,1914808,41.92197836,-87.69368937,"(41.921978359, -87.693689369)"
JD456084,12/11/2020 13:00,067XX S CRANDON AVE,460,BATTERY,SIMPLE,APARTMENT,N,N,331,5,08B,1192479,1860820,41.77306567,-87.56996699,"(41.773065672, -87.569966992)"
JD457153,12/11/2020 12:00,066XX S HONORE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,726,15,11,1165154,1860725,41.77342688,-87.67013602,"(41.773426876, -87.670136017)"
JE223233,5/08/2021 1:15,076XX S KINGSTON AVE,560,ASSAULT,SIMPLE,APARTMENT,N,Y,421,7,08A,1194521,1854743,41.75633996,-87.56268127,"(41.756339963, -87.562681266)"
JD469770,12/26/2020 01:00:00 AM,0000X S MENARD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,Y,1513,29,26,1137728,1899307,41.87983838,-87.76974732,"(41.879838381, -87.769747315)"
JD456629,12/11/2020 20:49,004XX W 99TH PL,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,2232,9,26,1175039,1838931,41.71340649,-87.63454872,"(41.713406486, -87.63454872)"
JE116397,01/18/2021 03:50:00 PM,014XX N LATROBE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,Y,Y,2532,37,14,1141102,1909037,41.90647721,-87.75711833,"(41.906477207, -87.757118325)"
JD455957,12/11/2020 2:00,043XX S ST LOUIS AVE,810,THEFT,OVER $500,STREET,N,N,821,14,6,1153792,1875650,41.81461613,-87.71139105,"(41.814616127, -87.711391047)"
JD459546,12/09/2020 19:00,042XX N Marine Dr,820,THEFT,$500 AND UNDER,OTHER (SPECIFY),N,N,1915,46,6,1170986,1928779,41.96004678,-87.64676205,"(41.960046783, -87.646762046)"
JE223410,5/08/2021 10:00,020XX W 18TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1234,25,08B,1163014,1891068,41.85673663,-87.6771314,"(41.856736631, -87.677131403)"
