CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE285323,06/30/2021 08:23:00 PM,065XX S BISHOP ST,460,BATTERY,SIMPLE,SIDEWALK,N,N,725,16,08B,1167788,1861475,41.77542883,-87.66045885,"(41.775428827, -87.660458852)"
JE247585,8/10/2020 12:00,065XX S PEORIA ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,723,6,11,,,,,
JD381795,09/13/2020 12:00:00 PM,015XX N KINGSBURY ST,810,THEFT,OVER $500,GROCERY FOOD STORE,Y,N,1822,27,6,1169505,1910252,41.90924028,-87.65274758,"(41.909240284, -87.65274758)"
JE148785,12/04/2020 11:50,020XX N BURLING ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1812,43,11,,,,,
JE271994,06/19/2021 01:05:00 PM,0000X N DEARBORN ST,870,THEFT,POCKET-PICKING,CTA PLATFORM,N,N,112,42,6,,,,,
JD394860,10/08/2020 7:30,054XX N KEDZIE AVE,820,THEFT,$500 AND UNDER,STREET,N,N,1712,40,6,1154065,1935878,41.97988203,-87.70878139,"(41.979882033, -87.70878139)"
JD393050,10/08/2020 17:10,015XX N LINDER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,2532,37,08B,1139392,1909706,41.90834437,-87.76338359,"(41.90834437, -87.763383589)"
JD392460,10/08/2020 8:20,047XX W NORTH AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2533,37,6,1144311,1910210,41.90963629,-87.74530073,"(41.909636288, -87.745300725)"
JD393039,10/08/2020 16:18,014XX W 87TH ST,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,614,21,26,1168433,1847060,41.73585825,-87.65850886,"(41.735858253, -87.658508857)"
JD393465,10/08/2020 15:41,019XX N RICHMOND ST,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,N,N,1421,1,6,,,,,
JD393270,10/08/2020 21:01,032XX N NEENAH AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,Y,N,1632,36,15,1132148,1920847,41.93904562,-87.78973545,"(41.939045624, -87.789735454)"
JD392482,10/08/2020 1:00,002XX W 109TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,513,34,14,1176712,1832329,41.69525224,-87.62861949,"(41.695252238, -87.628619487)"
JD393025,10/08/2020 0:00,058XX S SHIELDS AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,711,20,6,1174958,1866088,41.78793045,-87.63403701,"(41.787930446, -87.634037012)"
JD393323,10/08/2020 22:20,053XX N WINTHROP AVE,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,2023,48,04B,1167909,1935528,41.97863335,-87.65787885,"(41.978633349, -87.65787885)"
JE267415,06/15/2021 08:44:00 PM,053XX S WINCHESTER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,932,16,08B,1164258,1869338,41.79708097,-87.67317814,"(41.797080971, -87.673178143)"
JE267447,06/15/2021 08:30:00 PM,007XX E 111TH ST,810,THEFT,OVER $500,POLICE FACILITY / VEHICLE PARKING LOT,N,N,531,9,6,1183356,1831503,41.69283384,-87.60431945,"(41.692833841, -87.60431945)"
JE267316,06/15/2021 06:55:00 PM,087XX S NORMAL AVE,560,ASSAULT,SIMPLE,RESIDENCE,N,Y,2223,21,08A,1174498,1846864,41.73518776,-87.6362948,"(41.735187757, -87.636294797)"
JE266387,06/15/2021 12:00:00 AM,006XX N KINGSBURY ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,PARK PROPERTY,Y,N,1831,42,15,1172736,1904345,41.89296019,-87.64105354,"(41.892960189, -87.641053541)"
